Year,Month,Day,TradingPeriod,IsProxyPriceFlag,Med$PerMWHr,Avg$PerMWHr,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate,Date,SARIMA_Residuals
2023,1,5,16,N,41.90198577356254,41.90198577356254,41.90198577356254,41.90425266903915,-0.8660254037844385,-0.5000000000000004,0.4999999999999999,0.8660254037844387,2023-01-05,-2.1916313197632746
2023,1,11,16,N,50.05359810314168,50.05359810314168,50.05359810314167,50.043345195729536,-0.8660254037844385,-0.5000000000000004,0.4999999999999999,0.8660254037844387,2023-01-11,-3.2404039118582517
2023,1,21,17,N,156.7047233748271,156.7047233748271,156.7047233748271,156.70908650519033,-0.9659258262890684,-0.2588190451025206,0.5,0.8660254037844387,2023-01-21,2.5561063562266213
2023,2,17,17,N,269.4068405453468,269.4068405453468,269.4068405453468,269.4114590747331,-0.9659258262890682,-0.2588190451025206,0.8660254037844387,0.5000000000000001,2023-02-17,22.31041311154857
2023,3,30,18,N,205.4734439834025,205.4734439834025,205.4734439834025,205.4929833926453,-1.0,-1.8369701987210294e-16,1.0,6.123233995736766e-17,2023-03-30,-105.9531882831335
2023,4,27,17,N,414.73390634262,414.73390634262,414.73390634262,414.8742704626335,-0.9659258262890682,-0.2588190451025206,0.8660254037844387,-0.4999999999999998,2023-04-27,-24.16642060458588
2024,5,8,16,N,4522.490279761904,4522.490279761904,4522.490279761904,4522.83088147707,-0.8660254037844385,-0.5000000000000004,0.4999999999999999,-0.8660254037844387,2024-05-08,2947.3524475064546
2024,8,6,19,N,836.0165905947441,836.0165905947441,836.0165905947441,836.0547335640139,-0.9659258262890684,0.2588190451025203,-0.8660254037844385,-0.5000000000000004,2024-08-06,-38.86392212186331
2025,1,25,32,N,219.6767975206612,219.6767975206612,219.6767975206612,219.69238095238092,0.8660254037844392,-0.4999999999999992,0.4999999999999999,0.8660254037844387,2025-01-25,-2.7872747571682908
2025,1,26,48,N,0.2520454545454546,0.2520454545454546,0.2520454545454546,0.2521984838042729,-4.898587196589413e-16,1.0,0.5,0.8660254037844387,2025-01-26,-79.52003201496986
2025,2,24,16,N,346.77626721763085,346.77626721763085,346.77626721763085,346.7843625086147,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,0.5000000000000001,2025-02-24,2.757647451335856
